participant_ID,condition,task_numCorrect,taskInput_confidence,taskInput_a,taskInput_b,spatialAbility_score,numeracy_score,age,gender,education,familiar,trained,time_diff_task_solution,time_diff_spatial-part1,time_diff_spatial-part2,taskInput_explanation
hrfgz9if,vis_only,0,3,10,3,11,4,31,female,college,yes,yes,209934,178128,142658, I counted how many people were in the sample graph (200) and divided by 2 (for the 100 people in the question). Then I counted the people in the sample graph who tested positive (20) and divided by 2 (which gave me 10). And I did the same thing for those who have the disease.
hrfj1m3c,vis_only,2,-,20,4,7.5,5,26,male,graduate school,no,no,40792,179103,98577,just count out the people.
hrffcf9x,vis_only,2,4,20,4,14,5,22,male,college,yes,no,41815,181023,166706," There are 100 people in the diagram, so the answers are right there."
hrfh9d5m,vis_only,2,5,20,4,11.25,5,35,male,high school,no,no,74952,181006,181002, there are 100 people shown in the visual aid and 20 are in the circle that tested positive while 4 of those are in the have disease group.
hrfh0umr,vis_only,0,2,60,6,7.5,4,30,female,college,yes,no,117407,131167,77153," I basically used the chart above and counted how many had it, and how many tested positive for it."
hrfiw587,vis_only,1,5,16,4,6.25,5,26,male,high school,no,no,27456,68706,38030, HONESTLY I COUNTED THE LITTLE PEOPLE IN THE DIAGRAM.
hrfgvf08,vis_only,2,5,20,4,14.5,5,21,male,college,no,no,46297,181021,181015, just counted the people in the image
hrfgyd9x,vis_only,2,5,20,4,6.25,3,39,female,college,no,no,28840,50746,37055," Above shows 100 people. Inside a rectangle is shown the number testing positive.  Inside that rectangle, shaded a darker color, are the ones who have the disease."
hrffslor,vis_only,2,5,20,4,14.5,5,28,male,graduate school,yes,yes,44371,181094,181071, I counted the people in the appropriate boxes
hrfhl4p0,vis_only,2,5,20,4,3.75,4,30,male,college,no,no,109081,136288,148807," There was a chart. The charcoal people had disease, grayed out and boxed tested positive. Others outside of these 2 groups did not have the disease."
hrfg16qn,vis_only,1,3,16,4,-2.5,5,48,female,college,no,no,69355,94546,94810, I counted the group that test positive and the group that have the disease
hrfgme05,vis_only,2,5,20,4,8.75,3,38,male,college,no,no,22648,124584,153045, I came to the answer by looking at the above graphic.
hrffp8tl,vis_only,2,5,20,4,7.5,5,49,male,college,no,no,20481,165582,141154, Took the total population and noted the number that tested positive and those who actually had the disease within those who tested positive.
hrfflt8v,vis_only,2,5,20,4,3.5,5,26,male,college,no,no,39559,181001,181000,It was easy to see that 20 people tested positive and 4 people tested positive and actually had the disease.
hrfi4deo,vis_only,2,5,20,4,6.75,5,23,male,high school,no,no,29498,173038,128694,"20 people were circled out of 100. Out of that 100, 20 were circled for testing positive. In the circle of people who tested positive, 4 were grayed showing to actually have the disease."
hrfhl27w,vis_only,2,5,20,4,15,5,29,female,graduate school,no,no,17488,140805,99491," Based on the scale, 20 people would be in the 'test positive' group, and 6 would actually have the disease. Therefore according to those numbers, 4 would actually have it and test positive."
hrff5igh,vis_only,2,5,20,4,14.25,4,52,male,college,yes,no,38992,181093,144644, counted the people in the boxes. The test only shows 20 positives while it misses two positives. 
hrfinbmh,vis_only,2,5,20,4,10,5,24,male,college,no,no,21721,181028,181077," I just counted up the number of people included in the ""test positive"" box. Then I looked at how many people in that box were shaded gray and had the disease."
hrfg7vg0,vis_only,2,4,20,4,9.25,5,28,female,college,yes,no,19501,180996,181006, By counting the little figures in the drawing.
hrff6t56,vis_only,2,5,20,4,8,4,38,male,high school,yes,yes,32163,181001,126746,"Just by interpreting the information given--by looking at the number of people (highlighted in gray) within the ""Test Positive"" box."
hrffwy64,vis_only,2,5,20,4,9.5,5,22,male,college,yes,yes,98426,181186,157459," Well, there are 100 people in the graph and there are 20 tested positive. So that's how I got my answers"
hrfgaq53,vis_only,2,5,20,4,10.25,6,24,male,graduate school,no,no,38179,181024,166784,"My answers are just a simple interpretation of the picture shown. There are 100 people in the total population, and the picture shows 20 of them testing positive (i.e., the answer to the first question.) Of those, it shows 4 actually having the disease (the answer to the second question.)"
hsm6041i,vis_only,2,5,20,4,5,5,25,female,high school,no,no,16736,83422,72104, it is pretty clear from the picture that my answers are right
hsm6247j,vis_only,1,4,20,6,6.25,5,24,male,college,no,no,86647,128602,87080,"I looked at how many tested positive and how many actually have the disease. It showed that even if the test didn't show it, it's still possible that they have it. "
hsm5wtvo,vis_only,2,5,20,4,13.75,5,26,male,college,yes,no,19012,181046,178767," 20 of the 100 people in the chart are circled as testing positive; of those 20, 4 actually have the disease."
hsm768o2,vis_only,2,5,20,4,12.25,5,31,female,college,no,yes,44781,181191,181176, By counting the little people in the diagram
hsm63k8z,vis_only,2,5,20,4,1.25,4,33,female,high school,no,no,23575,29321,16291, I estimated that there were 100 people in the graphic above.
hsm6360y,vis_only,2,4,20,4,13.75,5,29,male,college,no,no,26955,148428,181056," I count the row and column to find the total number of people, which turned out to be 100. I think noticed those in the box for test positive, and noticed the 4 that were darkened in the text positive box. "
hsm7jy42,vis_only,2,3,20,4,5,5,24,male,college,no,no,30948,161141,98249, By using the provided picture.
hsm6z9cv,vis_only,2,5,20,4,15.25,5,39,male,college,no,no,25346,180362,181111," the graphic above shows that out of 100,20 test positive and only 4 of the 20 are listed as having the disease, 2 who have it have been excluded from the selction."
hsm7dupo,vis_only,2,5,20,4,17.5,5,18,male,college,no,no,11419,122721,115625,I looked at the provided graphic for my answers.
hsm76aly,vis_only,2,5,20,4,13.5,5,27,male,college,no,no,43209,181078,181096," I first determined the population by multiplying row and column lengths.  After determining it to be 100, I determined the subset of the population that will test positive through the same means.  Finally, I looked at the positive-testing subset and accounted for those that actually have the disease."
hsm7pslv,vis_only,2,5,20,4,11.75,5,21,male,high school,no,no,44315,181061,181028, I derived my answer simply by analyzing the graphic
hsm7i2jj,vis_only,2,5,20,4,10.5,5,43,female,high school,yes,no,62236,181078,181097, The example provided is marked very clearly.
hsm77ly8,vis_only,0,4,22,6,10,6,20,male,college,no,yes,52381,179346,146916, Counting the total population. part a) is the positive tests and the people who have the disease. part b) is the number of people with the disease.
